NodeCount,SimCnt,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
8,55,214.11440,2083.47470,100.27220,3250.61870,19.36590,14.57470,0.000001694
8,56,189.55230,1480.40840,63.20680,1891.54140,18.57890,13.43100,0.000003525
8,57,183.08920,1569.53020,77.14300,2574.39520,22.88570,16.72880,0.000001986
8,58,260.05230,1611.21410,83.05550,1837.30100,26.02670,19.51320,0.000002131
8,59,213.84250,1783.08640,76.34300,2312.76520,19.71810,16.52330,0.000003497
8,60,232.78800,1507.74730,59.77640,2254.81340,18.64250,13.59560,0.000001449
8,61,183.16920,1501.32670,77.38890,1747.45320,18.06940,12.94230,0.000002781
8,62,246.40400,1619.86890,69.35280,2420.54780,22.29820,12.99790,0.000002385
8,63,189.75690,1429.90200,65.03740,1811.74720,19.85870,13.45590,0.000002076
8,64,211.76310,1714.40090,81.87540,1935.60140,21.64730,16.58950,0.000001880
8,65,202.41800,1374.14310,60.54920,1719.30050,19.26090,13.60820,0.000002176
8,66,183.99520,1334.25820,60.25230,1694.44330,18.39290,13.15830,0.000001542
8,67,186.29110,1331.45710,60.33420,1698.51570,18.47890,13.89760,0.000002197
8,68,182.21750,1311.75650,63.33010,1694.23280,18.02730,13.00540,0.000002195
8,69,183.83400,1338.49250,60.69980,1705.45940,19.45690,12.99240,0.000004093
8,70,182.56680,1336.87970,60.10050,1690.91160,18.12540,12.96070,0.000001432
8,71,188.16030,1330.45240,60.25740,1686.76510,18.65370,13.24130,0.000003765
8,72,183.23110,1333.00580,62.62770,1693.85990,18.47420,12.94110,0.000002100
8,73,185.65880,1329.25970,60.29970,1710.33970,18.28090,13.63260,0.000001489
8,74,184.39760,1321.11810,60.25620,1692.98410,18.93450,13.53290,0.000001758
8,75,188.41910,1333.60520,60.36420,1672.28030,18.19320,13.23800,0.000002501
8,76,183.13900,1333.11450,59.89850,1687.24220,19.22120,13.17020,0.000001571
8,77,187.93180,1340.61190,59.94510,1705.03860,18.73400,13.10570,0.000001443
8,78,182.69640,1343.59420,60.41150,1693.26070,18.38200,13.22470,0.000002093
8,79,192.32500,1332.93650,59.38190,1696.55600,18.19050,13.33370,0.000002210
8,80,187.82570,1387.37950,64.06950,1796.41670,18.41090,15.61180,0.000002552
8,81,260.60960,1519.48430,62.90520,1888.13540,20.77670,15.36910,0.000002378
8,82,197.88190,1441.81900,65.70350,1950.42600,18.39710,13.46290,0.000002809
8,83,189.55960,1440.37230,62.67670,1804.33390,21.74300,18.40900,0.000001252
8,84,202.34510,1456.37380,69.82720,1855.34870,20.31730,15.01270,0.000002834
8,85,187.61210,1389.68080,62.43710,1719.59520,18.52450,13.54680,0.000002166
8,86,287.11590,1908.50040,67.37870,2449.12480,21.20630,13.59770,0.000002267
8,87,192.32920,1396.64650,68.17980,1736.46710,20.49750,13.35780,0.000002479
8,88,254.98660,1652.74690,64.26720,2014.84920,18.43230,13.03990,0.000001957
8,89,186.88970,1413.64760,60.77770,1710.89020,18.23120,13.48080,0.000003811
8,90,187.62920,1503.32290,82.47740,2188.59270,18.33260,13.13860,0.000002286
8,91,213.90920,2106.88530,76.54850,2270.78780,29.79160,16.60370,0.000003595
8,92,242.77240,1670.77980,62.84510,2070.78880,21.26980,18.11300,0.000001641
8,93,187.80460,1365.03740,62.75420,1738.34420,18.60450,13.30760,0.000003160
8,94,190.17750,1361.16220,62.50240,1784.35250,19.31370,13.42410,0.000001864
8,95,184.67940,1371.72710,61.28400,1732.72700,18.59720,13.44220,0.000002539
8,96,193.53670,1355.18120,61.72520,1729.48380,18.22950,12.85810,0.000002879
8,97,187.20440,1367.29310,61.40040,1701.56730,18.48820,13.59040,0.000003366
8,98,186.65520,1418.50350,61.10050,1757.61340,21.26910,13.10930,0.000001357
8,99,196.63840,1369.55820,60.73260,1741.64900,18.13370,12.88770,0.000001827
16,0,1113.74710,4885.66600,88.70480,6355.95360,29.38630,77.22290,0.000005411
16,1,1051.81490,4875.58650,143.42520,6415.14690,39.80790,93.56700,0.000004698
16,2,1755.04410,4490.12880,93.30650,6024.84750,26.62040,66.59830,0.000008477
16,3,965.30730,3759.49110,80.02330,4982.93030,22.68920,69.41860,0.000008012
16,4,1177.18210,6443.23650,94.73590,11161.19710,31.96920,77.42660,0.000006304
